date,策略净值,等权基准净值
2022-07-14,18188701.98205792,11983098.245731395
2022-07-15,18188701.98205792,11897088.753360022
2022-07-18,18188701.98205792,12097496.317122793
2022-07-19,18188701.98205792,12195642.857623242
2022-07-20,18188701.98205792,12114063.42167646
2022-07-21,18188701.98205792,12083676.622644294
2022-07-22,18188701.98205792,12041683.90257963
2022-07-25,18188701.98205792,12169243.814311178
2022-07-26,18188701.98205792,12219920.997372648
2022-07-27,18188701.98205792,12364520.797177419
2022-07-28,18188701.98205792,12451367.330596942
2022-07-29,18176582.558776923,12588810.81544045
2022-08-01,18023053.698776923,12562461.006922709
2022-08-02,17960360.088776924,12512794.065708581
2022-08-03,17841167.688776918,12440169.775091581
2022-08-04,17605835.53877692,12316670.225785783
2022-08-05,17770591.378776923,12350744.814296106
2022-08-08,17912776.14877692,12424574.526833063
2022-08-09,17932307.338776924,12497877.257238459
2022-08-10,18017437.27877692,12527889.520625029
2022-08-11,18156679.308776923,12605985.48838725
2022-08-12,18125119.948776923,12635167.65356465
2022-08-15,17892902.45877692,12510924.550815636
2022-08-16,17735297.96877692,12362256.313940054
2022-08-17,17780561.238776922,12388362.838425621
2022-08-18,17935242.24877692,12405146.139275283
2022-08-19,17977229.238776922,12391358.65237299
2022-08-22,18002779.09877692,12420809.011397459
2022-08-23,18429790.04877692,12660676.521740563
2022-08-24,18572982.13877692,12782151.240331814
2022-08-25,18518289.38877692,12769241.683717312
2022-08-26,18327906.22877692,12704118.660174029
2022-08-29,18486349.71877692,12759546.778235126
2022-08-30,18306995.448776923,12612532.579737686
2022-08-31,18152056.24426092,12509716.431438562
2022-09-01,17872034.734260917,12360210.218080696
2022-09-02,17803559.75426092,12323183.780685257
2022-09-05,17992238.79426092,12456967.88358005
2022-09-06,18071770.83426092,12530589.000806175
2022-09-07,17737417.06426092,12349620.404703764
2022-09-08,17856366.22426092,12405844.596331477
2022-09-09,18147192.07426092,12572467.565028999
2022-09-13,18672435.374260917,12859906.684102062
2022-09-14,18689777.52426092,12841087.344298989
2022-09-15,18391791.63426092,12703856.287856592
2022-09-16,18367783.924260918,12657807.752784073
2022-09-19,18460135.45426092,12704271.499545377
2022-09-20,18396887.40426092,12639113.948660567
2022-09-21,18440898.874260917,12654366.40442349
2022-09-22,18558189.944260918,12729567.298921702
2022-09-23,18295702.39426092,12621799.598886738
2022-09-26,17949358.03426092,12395555.106694102
2022-09-27,18054176.24426092,12441596.870336127
2022-09-28,18243308.75426092,12545479.529380115
2022-09-29,18364464.15426092,12632200.788987456
2022-09-30,18294599.02791092,12609840.726077465
2022-10-10,18513432.847910922,13064881.138448844
2022-10-11,18513039.217910923,12965115.511892084
2022-10-12,18386051.35791092,12858720.28535958
2022-10-13,18404985.11791092,12921303.455366522
2022-10-14,18433569.62791092,12858803.671187107
2022-10-17,18366046.13791092,12800607.905515766
2022-10-18,18257186.53791092,12682260.799782204
2022-10-19,18185817.92791092,12679341.36332842
2022-10-20,18206224.26791092,12724784.7071631
2022-10-21,18349614.55791092,12779128.002128113
2022-10-24,18461720.44791092,12798036.443516292
2022-10-25,18575487.50791092,12817331.804908782
2022-10-26,18690309.897910923,12924364.896439984
2022-10-27,18701258.47791092,12936644.924118457
2022-10-28,18642193.27791092,12851039.115871765
2022-10-31,18413643.49808992,12717321.369123638
2022-11-01,18684600.21808992,12889826.10901067
2022-11-02,18939656.85808992,13036666.625680353
2022-11-03,18864125.01808992,12990026.216010291
