date,策略净值,恒生ETF_净值,纳指ETF_净值,日经ETF_净值,德国ETF_净值,标普500ETF_净值,黄金ETF_净值
2021-09-17,1216055.56025812,885376.0270753646,1843472.797810906,1329073.2035708232,1168465.966986555,1454723.3513548493,1210508.848745008
2021-09-22,1208711.82125812,862137.0334925826,1829138.1414250133,1300104.3024783365,1168465.966986555,1445946.658669842,1225220.4881194704
2021-09-23,1211641.37345812,873315.9684322379,1847191.4116013888,1294710.0933093906,1176172.2553096318,1464738.4730690292,1213101.349490429
2021-09-24,1209525.98225812,860037.279637819,1844672.3506465456,1313589.8254007008,1170392.539067324,1463553.8887802553,1206907.162702539
2021-09-27,1208990.80505812,861798.2388522128,1832256.978797676,1308195.6162317551,1173282.3971884777,1461507.7886451003,1210273.491043223
2021-09-28,1193719.95195812,871486.7350127506,1778037.1906267672,1299504.945904009,1144383.8159769392,1429954.770771393,1200039.888547801
2021-09-29,1192016.29205812,877720.2987570456,1777377.4365671654,1277628.4309410618,1153053.3903404009,1433454.6788973163,1196774.3004355324
2021-09-30,1186308.3725201199,877177.9696939441,1774858.3756123222,1274731.5408318134,1140530.6718154005,1420531.9412016002,1191859.4253978755
2021-10-08,1182671.6362201201,883275.6291243264,1783555.133670709,1210400.6018540147,1125118.0951692464,1442931.3532075083,1204147.0587452408
2021-10-11,1183356.6894201199,898858.8943887894,1767421.148031357,1220889.3419047426,1124154.8091288619,1430170.1497329883,1201655.298228235
2021-10-12,1177367.8049201202,885918.356138466,1760163.8533757373,1197514.4355059776,1117411.8068461695,1426024.1047222796,1208893.4390645737
2021-10-13,1181032.62432012,888018.1099932295,1777497.3918507292,1195716.3657829955,1126081.3812096312,1433885.4368205068,1208186.4744527722
2021-10-14,1194839.47012012,885714.8217157342,1805686.8834882595,1211199.7439531176,1143420.5299365544,1454077.2144700633,1224075.7938426067
2021-10-15,1202287.1606201201,898451.8255433261,1816302.9260836698,1226483.3365984643,1153053.3903404009,1464253.8704054398,1221147.1951669848
2021-10-18,1197374.90192012,900213.4288539942,1832256.978797676,1219091.2721817608,1143420.5299365544,1467161.486386976,1205527.1107238897
2021-10-19,1205502.20742012,913696.2961674194,1845452.0599897117,1225883.980024137,1148236.9601384776,1478145.8134283347,1210441.9857615465
2021-10-20,1204481.60092012,923113.6277964064,1836575.3690059786,1222587.5188653367,1145347.1020173237,1478145.8134283347,1206368.6928090607
2021-10-21,1201150.55242012,916541.913508016,1843592.7530944701,1198213.6848426927,1141493.9578557853,1478576.5713515254,1211518.9255485027
2021-10-22,1205128.0343201202,922300.7782980285,1831597.2247380742,1207703.497269542,1146310.3880577083,1480191.91356349,1217040.0249695454
2021-10-25,1206021.75682012,921216.7642681001,1847131.4339596068,1201310.360476717,1150163.532219247,1484661.0270165915,1215659.972990896
2021-10-26,1210713.46602012,917151.2285836621,1851509.8018096916,1221488.69847907,1156906.5345019393,1486545.5929305505,1218757.0663848412
2021-10-27,1202284.4895201202,902110.9364785752,1855168.437958392,1212098.7788146087,1152090.104300016,1478307.347649531,1208994.1792929897
2021-10-28,1209695.5708201202,900484.5933855451,1879159.4946711836,1209501.5669925238,1153053.3903404009,1495106.906653962,1222695.7418639574
2021-10-29,1209252.1861201199,893709.344674423,1886296.834043239,1212798.028151324,1158833.1065827087,1496991.4725679208,1217881.6070547162
2021-11-01,1213939.74802012,889509.1928686216,1900811.423354478,1242266.3930557503,1160759.6786634778,1506091.233695321,1212529.0023519972
2021-11-02,1215713.95702012,884427.2732630741,1903690.350160013,1235873.2562629257,1172319.1111480934,1507437.3522052912,1217949.3615446242
2021-11-03,1216487.39392012,883207.9990155074,1926121.988186473,1238470.4680850108,1172319.1111480934,1518690.9029486442,1208489.586644465
2021-11-04,1220526.0631201202,888221.6444159611,1946274.4758252183,1245462.9614521626,1178098.8273904012,1522029.276853371,1205324.7387606124
2021-11-05,1222465.65422012,876297.4900867472,1949213.380272535,1242366.2858181382,1174245.6832288627,1528652.1799224254,1220070.2553800289
2021-11-08,1224591.5308201201,872435.4888250411,1945614.7217656164,1238870.0391345622,1175208.969269247,1529352.1615476103,1232290.1342374857
2021-11-09,1222525.29512012,872841.9135742299,1930020.534902302,1230678.8326187555,1175208.969269247,1522783.1032189543,1236498.044663341
2021-11-10,1220582.43442012,879820.6967080836,1903270.506667539,1230678.8326187555,1179062.1134307855,1511529.5524756014,1235757.2028065857
2021-11-11,1229347.49982012,890796.0972250071,1914546.303322551,1230379.154331592,1173282.3971884777,1516860.1817750845,1257168.5131239085
2021-11-12,1233186.24812012,892692.9607533135,1932359.662931799,1241267.4654318714,1168465.966986555,1526121.477123681,1257033.895650539
2021-11-15,1231767.96642012,892625.3306444945,1927021.652813203,1246461.8890760415,1169429.2530269392,1522136.9663341688,1252152.0063513902
2021-11-16,1237266.30502012,904346.5946472513,1941896.1079751337,1244164.3555411203,1169429.2530269392,1528652.1799224254,1257773.8460008483
2021-11-17,1233668.57202012,902517.3612277642,1942136.0185422616,1234274.9720647195,1164612.8228250165,1525206.116536901,1255451.4717086125
2021-11-18,1232898.2246201201,889102.1240231581,1959229.6464501256,1234774.435876659,1159796.3926230932,1527306.061412455,1258076.9581925415
2021-11-19,1233024.86572012,879684.792394171,1970745.3536722655,1240568.2160951563,1160759.6786634778,1525690.7192004905,1258649.3053309736
2021-11-22,1226265.31242012,878126.7235062346,1951432.5530184682,1244963.4976402232,1151126.8182596315,1523752.308546133,1245015.4972499132
2021-11-23,1214399.7868201202,867083.0487842173,1942195.9961840436,1236572.5055996408,1134750.955573093,1525744.5639408894,1225153.6251360087
2021-11-24,1209330.9990201201,867895.8982825952,1948553.6262129333,1215295.347211021,1130897.8114115542,1528652.1799224254,1216602.2953044828
2021-11-25,1210318.1165201203,870335.090874003,1950832.7766006486,1219490.8432313125,1129934.5253711697,1528652.1799224254,1216131.5799009125
2021-11-26,1189260.50802012,846350.8779016625,1908848.4273532631,1192320.0118618074,1083696.7954327073,1494729.9934711703,1223975.053614191
2021-11-29,1190724.1646201198,837339.9710218642,1950952.7318842125,1184828.0546827158,1090439.7977153999,1512875.6709855718,1214986.8856240485
2021-11-30,1175645.1706201201,823180.158523974,1918025.0065459062,1163650.7890564841,1077917.0791903995,1482776.461102633,1211889.7922301034
2021-12-01,1175602.82622012,828193.8039244278,1884737.4153569078,1171542.317285127,1105852.374361554,1462961.5966358683,1207951.1167509872
2021-12-02,1176024.73322012,833681.5041828897,1898532.2729667628,1168845.212700654,1089476.511675015,1484553.3375357941,1202160.7823832056
2021-12-03,1171705.53532012,833139.8192160625,1866444.2346134041,1178934.3817018305,1081770.2233519382,1472492.115686459,1200847.593388018
2021-12-06,1176128.77042012,817353.6636251424,1881378.667417117,1174239.4218696,1096219.5139577077,1488860.9167676994,1210104.9963248996
2021-12-07,1196661.78762012,840185.588362461,1939317.0693785087,1197514.4355059776,1126081.3812096312,1520467.779381805,1208387.9549096036
2021-12-08,1197438.88872012,839779.163613272,1945794.6546909625,1207204.0334576021,1114521.9487250156,1523698.4638057344,1209196.5512562667
2021-12-09,1191386.8507201201,846283.2477928434,1911367.4883081063,1196515.5078820984,1114521.9487250156,1508837.3154556607,1205695.6054422131
2021-12-10,1192030.6964201198,840050.3281448227,1938657.315318907,1187225.4809800251,1109705.5185230924,1527898.353556842,1203002.3644683764
2021-12-13,1191135.5678201201,838221.0947253355,1907648.8745176238,1198213.6848426927,1114521.9487250156,1513144.8946875662,1208455.7093995113
2021-12-14,1182536.27952012,826432.2006137597,1887976.2080131345,1189523.0145149466,1100072.6581192461,1502160.5676462073,1208792.6988361583
