code,history_count,history_pe_max,history_pe_mean,history_pe_median,history_pe_min,is_positive,name,pe_ttm,percentile
600372.XSHG,2453,274.4596,69.4855,67.4664,-16.0058,True,中航机载,52.8612,9.95
002065.XSHE,2453,71.2593,33.6663,31.8082,16.4577,True,东华软件,24.9158,10.44
600688.XSHG,2453,701.6074,16.5121,17.0504,-297.4866,True,上海石化,12.48,10.93
600919.XSHG,365,16.2703,10.1931,10.0512,7.3377,True,江苏银行,7.9329,12.33
000959.XSHE,2453,736.7667,22.4724,15.3471,-362.0988,True,首钢股份,16.3389,12.33
300136.XSHE,1762,507.3883,44.5572,57.1545,-376.7067,True,信维通信,36.4359,12.42
601216.XSHG,1691,93.5577,30.5085,27.0603,12.4391,True,君正集团,18.0457,12.54
000709.XSHE,2453,292.6057,18.6723,23.1822,-200.422,True,河钢股份,15.4537,12.74
600332.XSHG,2453,115.8317,41.6784,37.0577,12.1026,True,白云山,24.5724,13.13
002007.XSHE,2453,116.4765,45.9906,42.1652,24.5096,True,华兰生物,32.2671,13.82
600926.XSHG,310,19.3623,13.2473,13.3703,9.3856,True,杭州银行,10.2446,13.87
002385.XSHE,1900,98.1749,36.5989,33.2175,22.1218,True,大北农,25.7884,14.53
601225.XSHG,978,1998.4958,83.3976,10.0503,-424.1433,True,陕西煤业,10.0236,14.58
000938.XSHE,2453,457.7331,104.5692,72.9877,31.803,True,紫光股份,48.2204,15.08
600816.XSHG,2453,1379.8438,95.5507,46.2877,-280.9881,True,建元信托,17.159,15.14
300017.XSHE,2008,120.2144,55.0471,51.8469,19.1697,True,网宿科技,35.4541,15.64
601229.XSHG,296,12.9656,9.6261,9.8497,7.3368,True,上海银行,8.1684,16.55
601611.XSHG,404,77.9405,45.9776,48.1564,16.457,True,中国核建,35.7802,16.83
600606.XSHG,2453,1406.7271,57.9762,15.8171,-752.999,True,绿地控股,12.8173,16.89
600977.XSHG,360,83.4897,43.1985,41.2812,27.6077,True,中国电影,33.2908,16.94
603799.XSHG,733,477.1375,-906.7469,41.9055,-9609.4103,True,华友钴业,49.7093,17.45
300027.XSHE,2008,190.7255,58.9076,48.0763,25.6495,True,ST华谊,36.2281,18.33
000625.XSHE,2453,721.8145,19.7045,13.33,-124.6981,True,长安汽车,7.5575,19.42
600705.XSHG,2453,1916.8781,119.7571,29.3754,-2938.7553,True,中航产融,19.6632,19.51
600893.XSHG,2453,187.0564,84.446,77.9273,40.7042,True,航发动力,61.6765,19.85
000069.XSHE,2453,142.7957,20.8688,13.4254,6.4774,True,华侨城A,10.1745,20.06
600018.XSHG,2453,55.7087,21.268,20.0375,10.8715,True,上港集团,15.094,20.79
600089.XSHG,2453,80.6439,22.5588,20.7144,13.3848,True,特变电工,16.4439,21.81
000413.XSHE,2453,4783.814,306.6589,40.8992,-858.8187,True,ST旭电,35.3785,22.54
600535.XSHG,2453,61.0095,36.4474,35.0098,21.9996,True,天士力,30.4494,22.63
600909.XSHG,282,70.4335,50.9542,51.0609,35.0321,True,华安证券,43.2922,22.7
601163.XSHG,337,47.9381,30.2232,28.3403,23.0883,True,三角轮胎,25.9648,22.85
002841.XSHE,251,55.199,40.7734,39.9363,17.8708,True,视源股份,37.6524,23.11
300033.XSHE,1968,798.4456,111.8704,58.2426,22.0233,True,同花顺,34.0855,23.22
600109.XSHG,2453,123.6145,45.1706,36.1207,13.9006,True,国金证券,26.222,23.85
002456.XSHE,1822,430.956,61.8404,55.1067,-393.0469,True,欧菲光,41.3194,24.23
601997.XSHG,355,14.658,9.8054,9.6406,7.4005,True,贵阳银行,8.7041,24.23
000983.XSHE,2453,861.0128,87.2913,27.4798,6.073,True,山西焦煤,20.1293,24.5
000898.XSHE,2453,249.9778,5.1563,6.4025,-134.1146,True,鞍钢股份,13.1089,24.98
600704.XSHG,2453,122.5728,26.345,20.039,7.4122,True,物产中大,13.3158,24.99
002310.XSHE,1988,153.3835,48.4322,36.7159,17.3598,True,东方新能,30.8031,25.4
601228.XSHG,207,99.8842,65.0835,61.52,30.4638,True,广州港,56.6212,25.6
600061.XSHG,2453,18061.7283,-15.706,96.4414,-7215.778,True,国投资本,28.4808,25.99
600674.XSHG,2453,314.6187,39.4556,29.3353,8.5136,True,川投能源,13.5006,26.13
002608.XSHE,1574,76.0037,21.6444,25.1078,-16.615,True,江苏国信,25.0236,26.89
601212.XSHG,237,316.7837,226.4598,233.7221,48.5677,True,白银有色,197.1348,27.0
600068.XSHG,2453,61.47,17.7403,15.9437,8.1832,True,葛洲坝,11.9864,27.31
601099.XSHG,2453,4025.2786,153.397,69.5298,-354.3571,True,太平洋,56.0051,27.48
000776.XSHE,2453,253.5695,-1248.4843,25.4145,-19490.2518,True,广发证券,17.6136,27.59
000060.XSHE,2453,304.9452,46.1471,37.4808,-304.4339,True,中金岭南,26.9789,27.79
600820.XSHG,2453,63.8274,21.2272,19.1477,7.8024,True,隧道股份,15.1556,28.5
300315.XSHE,1395,314.2809,88.6012,71.6485,32.2454,True,掌趣科技,53.5158,29.39
002594.XSHE,1603,743.9935,150.8189,77.6382,25.8226,True,比亚迪,42.7551,30.82
002500.XSHE,1756,127.4378,66.7694,63.3462,14.8579,True,山西证券,53.1843,30.87
