date,策略净值,银行ETF基准净值,芯片ETF基准净值
2024-03-15,14113.269999999999,14546.789838337181,13020.850040096231
2024-03-18,14246.769999999999,14513.163972286373,13423.51643945469
2024-03-19,14084.27,14388.26789838337,13203.28789093825
2024-03-20,14149.769999999999,14496.35103926097,13198.075380914193
2024-03-21,14202.519999999999,14600.83140877598,13165.497193263833
2024-03-22,14116.019999999999,14547.990762124713,13026.062550120289
2024-03-25,14032.269999999999,14609.237875288682,12708.099438652765
2024-03-26,14048.769999999999,14818.198614318706,12410.986367281475
2024-03-27,13927.519999999999,14879.44572748268,11995.28869286287
2024-03-28,13860.019999999999,14680.092378752886,12143.845228548515
2024-03-29,13871.519999999999,14692.101616628175,12154.270248596631
2024-03-31,13859.17,14690.900692840647,12154.270248596631
2024-04-01,14007.759999999998,14831.408775981527,12306.73616680032
2024-04-02,13951.15,14855.427251732102,12151.663993584603
2024-04-03,13835.11,14771.36258660508,12000.50120288693
2024-04-08,13723.23,14853.025404157042,11651.263031275059
2024-04-09,13746.33,14783.371824480371,11789.394546912588
2024-04-10,13610.619999999999,14798.983833718243,11470.128307939052
2024-04-11,13587.809999999998,14770.161662817552,11455.793905372895
2024-04-12,13569.89,14688.498845265589,11518.344025661589
2024-04-15,13800.77,14958.706697459585,11690.356856455493
2024-04-16,13648.14,14961.108545034642,11350.240577385726
2024-04-17,13960.769999999999,15212.101616628175,11726.844426623897
2024-04-18,13995.25,15373.025404157042,11601.744186046511
2024-04-19,13801.119999999999,15333.39491916859,11222.53408179631
2024-04-22,13759.939999999999,15216.90531177829,11277.265437048916
2024-04-23,13742.61,15206.096997690529,11252.506014434644
2024-04-24,13834.769999999999,15160.461893764434,11513.13151563753
2024-04-25,13960.89,15379.030023094687,11518.344025661589
2024-04-26,13992.849999999999,15152.055427251733,11872.794707297515
2024-04-29,14297.689999999999,15306.974595842956,12352.345629510824
2024-04-30,14255.71,15376.628175519629,12172.514033680834
2024-05-06,14291.609999999999,15375.4272517321,12253.307939053728
2024-05-07,14229.119999999999,15368.22170900693,12124.2983159583
2024-05-08,14159.72,15379.030023094687,11957.497995188452
2024-05-09,14336.380000000001,15413.856812933025,12304.129911788292
2024-05-10,14290.289999999999,15593.995381062357,11977.044907778669
2024-05-13,14258.41,15696.073903002307,11778.969526864475
2024-05-14,14196.25,15598.79907621247,11763.3319967923
2024-05-15,14126.32,15586.789838337183,11623.897353648756
2024-05-16,14301.329999999998,15859.399538106236,11669.506816359262
2024-05-17,14510.89,16041.939953810623,11904.06976744186
2024-05-20,14491.649999999998,15966.281755196303,11956.194867682436
2024-05-21,14496.43,16085.173210161664,11818.063352044906
2024-05-22,14564.869999999999,16156.027713625865,11880.6134723336
2024-05-23,14425.329999999998,16057.551963048498,11695.569366479549
2024-05-24,14209.25,15921.847575057738,11388.031275060144
2024-05-27,14499.54,16118.799076212472,11782.878909382518
2024-05-28,14456.189999999999,16059.953810623554,11760.725741780272
2024-05-29,14353.07,15927.85219399538,11698.17562149158
2024-05-30,14390.32,15802.956120092378,11936.647955092221
2024-05-31,14414.99,15832.979214780602,11953.58861267041
2024-06-03,14429.93,15678.060046189375,12180.33279871692
2024-06-04,14453.58,15741.709006928404,12152.967121090616
2024-06-05,14356.92,15585.588914549653,12134.723336006417
2024-06-06,14303.06,15567.57505773672,12038.291900561346
2024-06-07,14372.369999999999,15697.274826789837,12029.170008019246
2024-06-11,14471.580000000002,15415.057736720555,12601.242983159582
2024-06-12,14424.55,15362.217090069284,12563.452285485164
2024-06-13,14437.009999999998,15252.933025404158,12727.646351242984
2024-06-14,14472.859999999999,15400.646651270206,12622.093023255813
2024-06-17,14490.28,15270.94688221709,12822.774659182036
2024-06-18,14511.17,15321.385681293303,12805.83400160385
2024-06-19,14622.89,15489.515011547346,12842.321571772254
2024-06-20,14664.92,15412.655889145497,13031.275060144346
2024-06-21,14678.779999999999,15385.034642032331,13096.431435445065
2024-06-24,14510.52,15415.057736720555,12687.249398556536
2024-06-25,14304.249999999998,15481.10854503464,12149.057738572574
2024-06-26,14445.509999999998,15515.93533487298,12417.502004811548
2024-06-27,14410.509999999998,15670.854503464201,12146.451483560544
2024-06-28,14455.34,15757.321016166281,12137.329591018442
2024-06-30,14444.16,15756.120092378753,12137.329591018442
2024-07-01,14528.06,15948.267898383372,12091.720128307938
2024-07-02,14581.14,16201.662817551962,11910.585404971933
2024-07-03,14584.819999999998,16051.547344110855,12091.720128307938
2024-07-04,14489.139999999998,16082.771362586604,11854.550922213311
2024-07-05,14346.86,15757.321016166281,11931.435445068164
2024-07-08,14375.539999999999,15836.581986143186,11900.160384923818
2024-07-09,14684.68,16015.519630484987,12343.223736968725
2024-07-10,14717.759999999998,16077.96766743649,12340.617481956695
2024-07-11,14715.34,15986.697459584295,12440.958299919806
2024-07-12,14903.939999999999,16325.357967667436,12446.170809943864
2024-07-15,15040.759999999998,16468.26789838337,12568.664795509221
2024-07-16,15231.8,16433.441108545034,13010.425020048115
2024-07-17,15245.279999999999,16540.323325635105,12915.29671210906
2024-07-18,15268.319999999996,16524.711316397228,12981.756214915797
2024-07-19,15416.859999999999,16498.290993071594,13324.478748997592
2024-07-22,15298.719999999998,16246.09699769053,13367.481956696072
2024-07-23,15054.359999999999,16392.609699769055,12684.643143544507
2024-07-24,14997.279999999999,16391.408775981523,12566.058540497193
2024-07-25,14875.96,16248.498845265587,12476.142742582198
2024-07-26,14789.179999999998,16007.113163972286,12572.574178027264
2024-07-29,14789.599999999999,16224.480369515011,12322.373696872493
2024-07-30,14835.839999999997,16160.831408775979,12493.083400160383
2024-07-31,15103.4,16115.196304849886,13108.159582999198
2024-08-01,15152.84,16147.621247113162,13174.619085805933
2024-08-02,14941.659999999998,16080.369515011545,12808.440256615877
2024-08-05,14593.779999999999,15948.267898383372,12229.851643945469
2024-08-06,14573.96,15781.339491916859,12381.014434643143
2024-08-07,14519.619999999999,15806.558891454964,12237.670408981556
2024-08-08,14586.46,15840.184757505773,12339.31435445068
2024-08-09,14614.899999999998,15912.240184757504,12315.858059342421
2024-08-12,14581.159999999998,15885.81986143187,12275.461106655972
2024-08-13,14662.8,15954.272517321015,12367.983159583
2024-08-14,14561.42,15944.665127020786,12165.998396150762
2024-08-15,14728.3,16152.42494226328,12276.764234161988
2024-08-16,14807.119999999999,16340.969976905313,12224.639133921411
2024-08-19,14973.059999999998,16650.80831408776,12215.51724137931
2024-08-20,14899.060000000001,16700.046189376444,12003.107457898957
2024-08-21,14832.400000000001,16578.752886836028,12003.107457898957
2024-08-22,14833.36,16719.260969976905,11842.822774659182
2024-08-23,14833.22,16808.12933025404,11739.87570168404
