date,FAPP,DIV_bench,NDX_bench,BOND_bench,GOLD_bench
2026-01-26,27312883.48295959,23072000.0,39170305.6768559,13034809.765015041,39474537.93367287
2026-01-27,27336847.108759586,22960000.0,39521834.06113537,13030544.235822825,39463701.79088061
2026-01-28,27643274.243259586,23010000.0,39591703.05676856,13044778.535247741,40868957.27231428
2026-01-29,28092036.40495959,23342000.0,39388646.2882096,13045549.758159727,42873720.20180284
2026-01-30,27465371.70265959,23318000.0,38838427.947598256,13052414.594203448,40148454.1998422
2026-02-02,26535509.22495959,23043999.999999996,39126637.55458516,13046711.353162965,35527475.312627025
2026-02-03,26864043.865059588,22986000.0,38473799.12663755,13048739.38378337,37860536.068670355
2026-02-04,27122438.48975959,23328000.000000004,37755458.515283845,13049034.54316944,39321770.31776775
2026-02-05,26884706.89985959,23604000.0,37255458.51528384,13055613.741097612,38122372.85704039
2026-02-06,26925033.302059587,23524000.0,38061135.37117904,13065192.13923906,37719321.90421539
2026-02-09,27151492.66925959,23640000.0,38316593.88646288,13069552.881136457,38483523.42012768
2026-02-10,27134790.07055959,23706000.0,38072052.40174673,13073028.144875651,38506639.88714343
2026-02-11,27214550.55455959,23764000.0,38170305.67685589,13082416.117606733,38723697.48702867
2026-02-12,27025934.97755959,23546000.0,37403930.13100437,13092680.0472255,38706003.87346676
2026-02-13,26869023.84935959,23302000.0,37443231.44104803,13084548.88220284,38236138.010185786
2026-02-24,27229203.233959585,23434000.0,37816593.88646288,13087843.241802184,39564823.18341583
2026-02-25,27278793.69215959,23394000.0,38299126.637554586,13074094.527173705,39493312.29227938
2026-02-26,27168686.07925959,23352000.0,37803493.449781656,13060355.333815742,39453946.39313297
2026-02-27,27166023.00135959,23424000.0,37694323.1441048,13072647.294054918,39400138.679673865
2026-03-02,27623081.30725959,23650000.000000004,37744541.484716155,13087357.65700575,41343146.11577362
2026-03-03,27487606.74185959,23882000.0,37259825.327510916,13084253.722816769,40743992.539989956
2026-03-04,27314569.014359586,23590000.0,37840611.35371179,13091899.303042997,39748655.04626641
2026-03-05,27275484.43235959,23636000.0,37670305.67685589,13093746.429523554,39625134.49537337
2026-03-06,27141779.87125959,23748000.0,37115720.52401746,13089680.847012224,39270124.09439782
2026-03-09,27234521.815359585,23760000.0,37670305.67685589,13067905.701336784,39304067.14009038
2026-03-10,27226908.124859586,23687999.999999996,37563318.77729258,13069933.73195719,39455754.010950916
2026-03-11,27328278.038059592,23936000.0,37541484.7161572,13066353.734242296,39649695.14382039
2026-03-12,27233981.06805959,24062000.0,36917030.56768559,13072352.134668848,39511732.77861464
2026-03-13,27102538.62135959,24098000.0,36713973.79912664,13064230.490916707,38982282.47614949
2026-03-16,27062094.04585959,24110000.0,37150655.02183406,13051062.573789844,38412022.093106665
2026-03-17,27114147.39655959,24174000.000000004,37288209.606986895,13055223.36900636,38457528.154364824
2026-03-18,26974861.27755959,24089999.999999996,36727074.235807866,13068096.126747154,38316313.98990986
2026-03-19,26598156.89935959,24014000.000000004,36655021.83406113,13063544.959439388,36563995.88743036
